emoji,name,label
🧎🏾,person kneeling: medium-dark skin tone,neutral
🧎🏿,person kneeling: dark skin tone,neutral
🧎‍♂️,man kneeling,neutral
🧎‍♂,man kneeling,neutral
🧎🏻‍♂️,man kneeling: light skin tone,neutral
🧎🏻‍♂,man kneeling: light skin tone,neutral
🧎🏼‍♂️,man kneeling: medium-light skin tone,neutral
🧎🏼‍♂,man kneeling: medium-light skin tone,neutral
🧎🏽‍♂️,man kneeling: medium skin tone,neutral
🧎🏽‍♂,man kneeling: medium skin tone,neutral
🧎🏾‍♂️,man kneeling: medium-dark skin tone,neutral
🧎🏾‍♂,man kneeling: medium-dark skin tone,neutral
🧎🏿‍♂️,man kneeling: dark skin tone,neutral
🧎🏿‍♂,man kneeling: dark skin tone,neutral
🧎‍♀️,woman kneeling,neutral
🧎‍♀,woman kneeling,neutral
🧎🏻‍♀️,woman kneeling: light skin tone,neutral
🧎🏻‍♀,woman kneeling: light skin tone,neutral
🧎🏼‍♀️,woman kneeling: medium-light skin tone,neutral
🧎🏼‍♀,woman kneeling: medium-light skin tone,neutral
🧎🏽‍♀️,woman kneeling: medium skin tone,neutral
🧎🏽‍♀,woman kneeling: medium skin tone,neutral
🧎🏾‍♀️,woman kneeling: medium-dark skin tone,neutral
🧎🏾‍♀,woman kneeling: medium-dark skin tone,neutral
🧎🏿‍♀️,woman kneeling: dark skin tone,neutral
🧎🏿‍♀,woman kneeling: dark skin tone,neutral
🧑‍🦯,person with white cane,neutral
🧑🏻‍🦯,person with white cane: light skin tone,neutral
🧑🏼‍🦯,person with white cane: medium-light skin tone,neutral
🧑🏽‍🦯,person with white cane: medium skin tone,neutral
🧑🏾‍🦯,person with white cane: medium-dark skin tone,neutral
🧑🏿‍🦯,person with white cane: dark skin tone,neutral
👨‍🦯,man with white cane,neutral
👨🏻‍🦯,man with white cane: light skin tone,neutral
👨🏼‍🦯,man with white cane: medium-light skin tone,neutral
👨🏽‍🦯,man with white cane: medium skin tone,neutral
👨🏾‍🦯,man with white cane: medium-dark skin tone,neutral
👨🏿‍🦯,man with white cane: dark skin tone,neutral
👩‍🦯,woman with white cane,neutral
👩🏻‍🦯,woman with white cane: light skin tone,neutral
👩🏼‍🦯,woman with white cane: medium-light skin tone,neutral
👩🏽‍🦯,woman with white cane: medium skin tone,neutral
👩🏾‍🦯,woman with white cane: medium-dark skin tone,neutral
👩🏿‍🦯,woman with white cane: dark skin tone,neutral
🧑‍🦼,person in motorized wheelchair,neutral
🧑🏻‍🦼,person in motorized wheelchair: light skin tone,neutral
🧑🏼‍🦼,person in motorized wheelchair: medium-light skin tone,neutral
🧑🏽‍🦼,person in motorized wheelchair: medium skin tone,neutral
🧑🏾‍🦼,person in motorized wheelchair: medium-dark skin tone,neutral
🧑🏿‍🦼,person in motorized wheelchair: dark skin tone,neutral
👨‍🦼,man in motorized wheelchair,neutral
👨🏻‍🦼,man in motorized wheelchair: light skin tone,neutral
👨🏼‍🦼,man in motorized wheelchair: medium-light skin tone,neutral
👨🏽‍🦼,man in motorized wheelchair: medium skin tone,neutral
👨🏾‍🦼,man in motorized wheelchair: medium-dark skin tone,neutral
👨🏿‍🦼,man in motorized wheelchair: dark skin tone,neutral
👩‍🦼,woman in motorized wheelchair,neutral
👩🏻‍🦼,woman in motorized wheelchair: light skin tone,neutral
👩🏼‍🦼,woman in motorized wheelchair: medium-light skin tone,neutral
👩🏽‍🦼,woman in motorized wheelchair: medium skin tone,neutral
👩🏾‍🦼,woman in motorized wheelchair: medium-dark skin tone,neutral
👩🏿‍🦼,woman in motorized wheelchair: dark skin tone,neutral
🧑‍🦽,person in manual wheelchair,neutral
🧑🏻‍🦽,person in manual wheelchair: light skin tone,neutral
🧑🏼‍🦽,person in manual wheelchair: medium-light skin tone,neutral
🧑🏽‍🦽,person in manual wheelchair: medium skin tone,neutral
🧑🏾‍🦽,person in manual wheelchair: medium-dark skin tone,neutral
🧑🏿‍🦽,person in manual wheelchair: dark skin tone,neutral
👨‍🦽,man in manual wheelchair,neutral
👨🏻‍🦽,man in manual wheelchair: light skin tone,neutral
👨🏼‍🦽,man in manual wheelchair: medium-light skin tone,neutral
👨🏽‍🦽,man in manual wheelchair: medium skin tone,neutral
👨🏾‍🦽,man in manual wheelchair: medium-dark skin tone,neutral
👨🏿‍🦽,man in manual wheelchair: dark skin tone,neutral
👩‍🦽,woman in manual wheelchair,neutral
👩🏻‍🦽,woman in manual wheelchair: light skin tone,neutral
👩🏼‍🦽,woman in manual wheelchair: medium-light skin tone,neutral
👩🏽‍🦽,woman in manual wheelchair: medium skin tone,neutral
👩🏾‍🦽,woman in manual wheelchair: medium-dark skin tone,neutral
👩🏿‍🦽,woman in manual wheelchair: dark skin tone,neutral
🏃,person running,neutral
🏃🏻,person running: light skin tone,neutral
🏃🏼,person running: medium-light skin tone,neutral
🏃🏽,person running: medium skin tone,neutral
🏃🏾,person running: medium-dark skin tone,neutral
🏃🏿,person running: dark skin tone,neutral
🏃‍♂️,man running,neutral
🏃‍♂,man running,neutral
🏃🏻‍♂️,man running: light skin tone,neutral
🏃🏻‍♂,man running: light skin tone,neutral
🏃🏼‍♂️,man running: medium-light skin tone,neutral
🏃🏼‍♂,man running: medium-light skin tone,neutral
🏃🏽‍♂️,man running: medium skin tone,neutral
🏃🏽‍♂,man running: medium skin tone,neutral
🏃🏾‍♂️,man running: medium-dark skin tone,neutral
🏃🏾‍♂,man running: medium-dark skin tone,neutral
🏃🏿‍♂️,man running: dark skin tone,neutral
🏃🏿‍♂,man running: dark skin tone,neutral
🏃‍♀️,woman running,neutral
🏃‍♀,woman running,neutral
🏃🏻‍♀️,woman running: light skin tone,neutral
🏃🏻‍♀,woman running: light skin tone,neutral
🏃🏼‍♀️,woman running: medium-light skin tone,neutral
🏃🏼‍♀,woman running: medium-light skin tone,neutral
🏃🏽‍♀️,woman running: medium skin tone,neutral
🏃🏽‍♀,woman running: medium skin tone,neutral
🏃🏾‍♀️,woman running: medium-dark skin tone,neutral
🏃🏾‍♀,woman running: medium-dark skin tone,neutral
🏃🏿‍♀️,woman running: dark skin tone,neutral
🏃🏿‍♀,woman running: dark skin tone,neutral
💃,woman dancing,neutral
💃🏻,woman dancing: light skin tone,neutral
💃🏼,woman dancing: medium-light skin tone,neutral
💃🏽,woman dancing: medium skin tone,neutral
💃🏾,woman dancing: medium-dark skin tone,neutral
💃🏿,woman dancing: dark skin tone,neutral
🕺,man dancing,neutral
🕺🏻,man dancing: light skin tone,neutral
🕺🏼,man dancing: medium-light skin tone,neutral
🕺🏽,man dancing: medium skin tone,neutral
🕺🏾,man dancing: medium-dark skin tone,neutral
🕺🏿,man dancing: dark skin tone,neutral
🕴️,person in suit levitating,neutral
🕴,person in suit levitating,neutral
🕴🏻,person in suit levitating: light skin tone,neutral
🕴🏼,person in suit levitating: medium-light skin tone,neutral
🕴🏽,person in suit levitating: medium skin tone,neutral
🕴🏾,person in suit levitating: medium-dark skin tone,neutral
🕴🏿,person in suit levitating: dark skin tone,neutral
👯,people with bunny ears,neutral
👯‍♂️,men with bunny ears,neutral
👯‍♂,men with bunny ears,neutral
👯‍♀️,women with bunny ears,neutral
👯‍♀,women with bunny ears,neutral
🧖,person in steamy room,neutral
🧖🏻,person in steamy room: light skin tone,neutral
🧖🏼,person in steamy room: medium-light skin tone,neutral
🧖🏽,person in steamy room: medium skin tone,neutral
🧖🏾,person in steamy room: medium-dark skin tone,neutral
🧖🏿,person in steamy room: dark skin tone,neutral
🧖‍♂️,man in steamy room,neutral
🧖‍♂,man in steamy room,neutral
🧖🏻‍♂️,man in steamy room: light skin tone,neutral
🧖🏻‍♂,man in steamy room: light skin tone,neutral
🧖🏼‍♂️,man in steamy room: medium-light skin tone,neutral
🧖🏼‍♂,man in steamy room: medium-light skin tone,neutral
🧖🏽‍♂️,man in steamy room: medium skin tone,neutral
🧖🏽‍♂,man in steamy room: medium skin tone,neutral
🧖🏾‍♂️,man in steamy room: medium-dark skin tone,neutral
🧖🏾‍♂,man in steamy room: medium-dark skin tone,neutral
🧖🏿‍♂️,man in steamy room: dark skin tone,neutral
🧖🏿‍♂,man in steamy room: dark skin tone,neutral
🧖‍♀️,woman in steamy room,neutral
🧖‍♀,woman in steamy room,neutral
🧖🏻‍♀️,woman in steamy room: light skin tone,neutral
🧖🏻‍♀,woman in steamy room: light skin tone,neutral
🧖🏼‍♀️,woman in steamy room: medium-light skin tone,neutral
🧖🏼‍♀,woman in steamy room: medium-light skin tone,neutral
🧖🏽‍♀️,woman in steamy room: medium skin tone,neutral
🧖🏽‍♀,woman in steamy room: medium skin tone,neutral
🧖🏾‍♀️,woman in steamy room: medium-dark skin tone,neutral
🧖🏾‍♀,woman in steamy room: medium-dark skin tone,neutral
🧖🏿‍♀️,woman in steamy room: dark skin tone,neutral
🧖🏿‍♀,woman in steamy room: dark skin tone,neutral
🧗,person climbing,neutral
🧗🏻,person climbing: light skin tone,neutral
🧗🏼,person climbing: medium-light skin tone,neutral
🧗🏽,person climbing: medium skin tone,neutral
🧗🏾,person climbing: medium-dark skin tone,neutral
🧗🏿,person climbing: dark skin tone,neutral
🧗‍♂️,man climbing,neutral
🧗‍♂,man climbing,neutral
🧗🏻‍♂️,man climbing: light skin tone,neutral
🧗🏻‍♂,man climbing: light skin tone,neutral
🧗🏼‍♂️,man climbing: medium-light skin tone,neutral
🧗🏼‍♂,man climbing: medium-light skin tone,neutral
🧗🏽‍♂️,man climbing: medium skin tone,neutral
🧗🏽‍♂,man climbing: medium skin tone,neutral
🧗🏾‍♂️,man climbing: medium-dark skin tone,neutral
🧗🏾‍♂,man climbing: medium-dark skin tone,neutral
🧗🏿‍♂️,man climbing: dark skin tone,neutral
🧗🏿‍♂,man climbing: dark skin tone,neutral
🧗‍♀️,woman climbing,neutral
🧗‍♀,woman climbing,neutral
🧗🏻‍♀️,woman climbing: light skin tone,neutral
🧗🏻‍♀,woman climbing: light skin tone,neutral
🧗🏼‍♀️,woman climbing: medium-light skin tone,neutral
🧗🏼‍♀,woman climbing: medium-light skin tone,neutral
🧗🏽‍♀️,woman climbing: medium skin tone,neutral
🧗🏽‍♀,woman climbing: medium skin tone,neutral
🧗🏾‍♀️,woman climbing: medium-dark skin tone,neutral
🧗🏾‍♀,woman climbing: medium-dark skin tone,neutral
🧗🏿‍♀️,woman climbing: dark skin tone,neutral
🧗🏿‍♀,woman climbing: dark skin tone,neutral
🤺,person fencing,neutral
🏇,horse racing,neutral
🏇🏻,horse racing: light skin tone,neutral
🏇🏼,horse racing: medium-light skin tone,neutral
🏇🏽,horse racing: medium skin tone,neutral
🏇🏾,horse racing: medium-dark skin tone,neutral
🏇🏿,horse racing: dark skin tone,neutral
⛷️,skier,neutral
⛷,skier,neutral
🏂,snowboarder,neutral
🏂🏻,snowboarder: light skin tone,neutral
🏂🏼,snowboarder: medium-light skin tone,neutral
🏂🏽,snowboarder: medium skin tone,neutral
🏂🏾,snowboarder: medium-dark skin tone,neutral
🏂🏿,snowboarder: dark skin tone,neutral
🏌️,person golfing,neutral
🏌,person golfing,neutral
🏌🏻,person golfing: light skin tone,neutral
🏌🏼,person golfing: medium-light skin tone,neutral
🏌🏽,person golfing: medium skin tone,neutral
🏌🏾,person golfing: medium-dark skin tone,neutral
🏌🏿,person golfing: dark skin tone,neutral
🏌️‍♂️,man golfing,neutral
🏌‍♂️,man golfing,neutral
🏌🏻‍♂️,man golfing: light skin tone,neutral
🏌🏻‍♂,man golfing: light skin tone,neutral
🏌🏼‍♂️,man golfing: medium-light skin tone,neutral
🏌🏼‍♂,man golfing: medium-light skin tone,neutral
🏌🏽‍♂️,man golfing: medium skin tone,neutral
🏌🏽‍♂,man golfing: medium skin tone,neutral
🏌🏾‍♂️,man golfing: medium-dark skin tone,neutral
🏌🏾‍♂,man golfing: medium-dark skin tone,neutral
🏌🏿‍♂️,man golfing: dark skin tone,neutral
🏌🏿‍♂,man golfing: dark skin tone,neutral
🏌️‍♀️,woman golfing,neutral
🏌‍♀️,woman golfing,neutral
🏌️‍♀,woman golfing,neutral
🏌‍♀,woman golfing,neutral
🏌🏻‍♀️,woman golfing: light skin tone,neutral
🏌🏻‍♀,woman golfing: light skin tone,neutral
🏌🏼‍♀️,woman golfing: medium-light skin tone,neutral
🏌🏼‍♀,woman golfing: medium-light skin tone,neutral
🏌🏽‍♀️,woman golfing: medium skin tone,neutral
🏌🏽‍♀,woman golfing: medium skin tone,neutral
🏌🏾‍♀️,woman golfing: medium-dark skin tone,neutral
🏌🏾‍♀,woman golfing: medium-dark skin tone,neutral
🏌🏿‍♀️,woman golfing: dark skin tone,neutral
🏌🏿‍♀,woman golfing: dark skin tone,neutral
🏄,person surfing,neutral
🏄🏻,person surfing: light skin tone,neutral
🏄🏼,person surfing: medium-light skin tone,neutral
🏄🏽,person surfing: medium skin tone,neutral
🏄🏾,person surfing: medium-dark skin tone,neutral
🏄🏿,person surfing: dark skin tone,neutral
🏄‍♂️,man surfing,neutral
🏄‍♂,man surfing,neutral
🏄🏻‍♂️,man surfing: light skin tone,neutral
🏄🏻‍♂,man surfing: light skin tone,neutral
🏄🏼‍♂️,man surfing: medium-light skin tone,neutral
🏄🏼‍♂,man surfing: medium-light skin tone,neutral
🏄🏽‍♂️,man surfing: medium skin tone,neutral
🏄🏽‍♂,man surfing: medium skin tone,neutral
🏄🏾‍♂️,man surfing: medium-dark skin tone,neutral
🏄🏾‍♂,man surfing: medium-dark skin tone,neutral
🏄🏿‍♂️,man surfing: dark skin tone,neutral
🏄🏿‍♂,man surfing: dark skin tone,neutral
🏄‍♀️,woman surfing,neutral
🏄‍♀,woman surfing,neutral
🏄🏻‍♀️,woman surfing: light skin tone,neutral
🏄🏻‍♀,woman surfing: light skin tone,neutral
🏄🏼‍♀️,woman surfing: medium-light skin tone,neutral
🏄🏼‍♀,woman surfing: medium-light skin tone,neutral
🏄🏽‍♀️,woman surfing: medium skin tone,neutral
🏄🏽‍♀,woman surfing: medium skin tone,neutral
🏄🏾‍♀️,woman surfing: medium-dark skin tone,neutral
🏄🏾‍♀,woman surfing: medium-dark skin tone,neutral
🏄🏿‍♀️,woman surfing: dark skin tone,neutral
🏄🏿‍♀,woman surfing: dark skin tone,neutral
🚣,person rowing boat,neutral
🚣🏻,person rowing boat: light skin tone,neutral
🚣🏼,person rowing boat: medium-light skin tone,neutral
🚣🏽,person rowing boat: medium skin tone,neutral
🚣🏾,person rowing boat: medium-dark skin tone,neutral
🚣🏿,person rowing boat: dark skin tone,neutral
🚣‍♂️,man rowing boat,neutral
🚣‍♂,man rowing boat,neutral
🚣🏻‍♂️,man rowing boat: light skin tone,neutral
🚣🏻‍♂,man rowing boat: light skin tone,neutral
🚣🏼‍♂️,man rowing boat: medium-light skin tone,neutral
🚣🏼‍♂,man rowing boat: medium-light skin tone,neutral
🚣🏽‍♂️,man rowing boat: medium skin tone,neutral
🚣🏽‍♂,man rowing boat: medium skin tone,neutral
🚣🏾‍♂️,man rowing boat: medium-dark skin tone,neutral
🚣🏾‍♂,man rowing boat: medium-dark skin tone,neutral
🚣🏿‍♂️,man rowing boat: dark skin tone,neutral
🚣🏿‍♂,man rowing boat: dark skin tone,neutral
🚣‍♀️,woman rowing boat,neutral
🚣‍♀,woman rowing boat,neutral
🚣🏻‍♀️,woman rowing boat: light skin tone,neutral
🚣🏻‍♀,woman rowing boat: light skin tone,neutral
🚣🏼‍♀️,woman rowing boat: medium-light skin tone,neutral
🚣🏼‍♀,woman rowing boat: medium-light skin tone,neutral
🚣🏽‍♀️,woman rowing boat: medium skin tone,neutral
🚣🏽‍♀,woman rowing boat: medium skin tone,neutral
🚣🏾‍♀️,woman rowing boat: medium-dark skin tone,neutral
🚣🏾‍♀,woman rowing boat: medium-dark skin tone,neutral
🚣🏿‍♀️,woman rowing boat: dark skin tone,neutral
🚣🏿‍♀,woman rowing boat: dark skin tone,neutral
🏊,person swimming,neutral
🏊🏻,person swimming: light skin tone,neutral
🏊🏼,person swimming: medium-light skin tone,neutral
🏊🏽,person swimming: medium skin tone,neutral
🏊🏾,person swimming: medium-dark skin tone,neutral
🏊🏿,person swimming: dark skin tone,neutral
🏊‍♂️,man swimming,neutral
🏊‍♂,man swimming,neutral
🏊🏻‍♂️,man swimming: light skin tone,neutral
🏊🏻‍♂,man swimming: light skin tone,neutral
🏊🏼‍♂️,man swimming: medium-light skin tone,neutral
🏊🏼‍♂,man swimming: medium-light skin tone,neutral
🏊🏽‍♂️,man swimming: medium skin tone,neutral
🏊🏽‍♂,man swimming: medium skin tone,neutral
🏊🏾‍♂️,man swimming: medium-dark skin tone,neutral
🏊🏾‍♂,man swimming: medium-dark skin tone,neutral
🏊🏿‍♂️,man swimming: dark skin tone,neutral
🏊🏿‍♂,man swimming: dark skin tone,neutral
🏊‍♀️,woman swimming,neutral
🏊‍♀,woman swimming,neutral
🏊🏻‍♀️,woman swimming: light skin tone,neutral
🏊🏻‍♀,woman swimming: light skin tone,neutral
🏊🏼‍♀️,woman swimming: medium-light skin tone,neutral
🏊🏼‍♀,woman swimming: medium-light skin tone,neutral
🏊🏽‍♀️,woman swimming: medium skin tone,neutral
🏊🏽‍♀,woman swimming: medium skin tone,neutral
🏊🏾‍♀️,woman swimming: medium-dark skin tone,neutral
🏊🏾‍♀,woman swimming: medium-dark skin tone,neutral
🏊🏿‍♀️,woman swimming: dark skin tone,neutral
🏊🏿‍♀,woman swimming: dark skin tone,neutral
⛹️,person bouncing ball,neutral
⛹,person bouncing ball,neutral
⛹🏻,person bouncing ball: light skin tone,neutral
⛹🏼,person bouncing ball: medium-light skin tone,neutral
⛹🏽,person bouncing ball: medium skin tone,neutral
⛹🏾,person bouncing ball: medium-dark skin tone,neutral
⛹🏿,person bouncing ball: dark skin tone,neutral
⛹️‍♂️,man bouncing ball,neutral
⛹‍♂️,man bouncing ball,neutral
⛹️‍♂,man bouncing ball,neutral
⛹‍♂,man bouncing ball,neutral
⛹🏻‍♂️,man bouncing ball: light skin tone,neutral
⛹🏻‍♂,man bouncing ball: light skin tone,neutral
⛹🏼‍♂️,man bouncing ball: medium-light skin tone,neutral
⛹🏼‍♂,man bouncing ball: medium-light skin tone,neutral
⛹🏽‍♂️,man bouncing ball: medium skin tone,neutral
⛹🏽‍♂,man bouncing ball: medium skin tone,neutral
⛹🏾‍♂️,man bouncing ball: medium-dark skin tone,neutral
⛹🏾‍♂,man bouncing ball: medium-dark skin tone,neutral
⛹🏿‍♂️,man bouncing ball: dark skin tone,neutral
⛹🏿‍♂,man bouncing ball: dark skin tone,neutral
⛹️‍♀️,woman bouncing ball,neutral
⛹‍♀️,woman bouncing ball,neutral
⛹️‍♀,woman bouncing ball,neutral
⛹‍♀,woman bouncing ball,neutral
⛹🏻‍♀️,woman bouncing ball: light skin tone,neutral
⛹🏻‍♀,woman bouncing ball: light skin tone,neutral
⛹🏼‍♀️,woman bouncing ball: medium-light skin tone,neutral
⛹🏼‍♀,woman bouncing ball: medium-light skin tone,neutral
⛹🏽‍♀️,woman bouncing ball: medium skin tone,neutral
⛹🏽‍♀,woman bouncing ball: medium skin tone,neutral
⛹🏾‍♀️,woman bouncing ball: medium-dark skin tone,neutral
⛹🏾‍♀,woman bouncing ball: medium-dark skin tone,neutral
⛹🏿‍♀️,woman bouncing ball: dark skin tone,neutral
⛹🏿‍♀,woman bouncing ball: dark skin tone,neutral
🏋️,person lifting weights,neutral
🏋,person lifting weights,neutral
🏋🏻,person lifting weights: light skin tone,neutral
🏋🏼,person lifting weights: medium-light skin tone,neutral
🏋🏽,person lifting weights: medium skin tone,neutral
🏋🏾,person lifting weights: medium-dark skin tone,neutral
🏋🏿,person lifting weights: dark skin tone,neutral
🏋️‍♂️,man lifting weights,neutral
🏋‍♂️,man lifting weights,neutral
🏋️‍♂,man lifting weights,neutral
🏋‍♂,man lifting weights,neutral
🏋🏻‍♂️,man lifting weights: light skin tone,neutral
🏋🏻‍♂,man lifting weights: light skin tone,neutral
🏋🏼‍♂️,man lifting weights: medium-light skin tone,neutral
🏋🏼‍♂,man lifting weights: medium-light skin tone,neutral
🏋🏽‍♂️,man lifting weights: medium skin tone,neutral
🏋🏽‍♂,man lifting weights: medium skin tone,neutral
🏋🏾‍♂️,man lifting weights: medium-dark skin tone,neutral
🏋🏾‍♂,man lifting weights: medium-dark skin tone,neutral
🏋🏿‍♂️,man lifting weights: dark skin tone,neutral
🏋🏿‍♂,man lifting weights: dark skin tone,neutral
🏋️‍♀️,woman lifting weights,neutral
🏋‍♀️,woman lifting weights,neutral
🏋️‍♀,woman lifting weights,neutral
🏋‍♀,woman lifting weights,neutral
🏋🏻‍♀️,woman lifting weights: light skin tone,neutral
🏋🏻‍♀,woman lifting weights: light skin tone,neutral
🏋🏼‍♀️,woman lifting weights: medium-light skin tone,neutral
🏋🏼‍♀,woman lifting weights: medium-light skin tone,neutral
🏋🏽‍♀️,woman lifting weights: medium skin tone,neutral
🏋🏽‍♀,woman lifting weights: medium skin tone,neutral
🏋🏾‍♀️,woman lifting weights: medium-dark skin tone,neutral
🏋🏾‍♀,woman lifting weights: medium-dark skin tone,neutral
🏋🏿‍♀️,woman lifting weights: dark skin tone,neutral
🏋🏿‍♀,woman lifting weights: dark skin tone,neutral
🚴,person biking,neutral
🚴🏻,person biking: light skin tone,neutral
🚴🏼,person biking: medium-light skin tone,neutral
🚴🏽,person biking: medium skin tone,neutral
🚴🏾,person biking: medium-dark skin tone,neutral
🚴🏿,person biking: dark skin tone,neutral
🚴‍♂️,man biking,neutral
🚴‍♂,man biking,neutral
🚴🏻‍♂️,man biking: light skin tone,neutral
🚴🏻‍♂,man biking: light skin tone,neutral
🚴🏼‍♂️,man biking: medium-light skin tone,neutral
🚴🏼‍♂,man biking: medium-light skin tone,neutral
🚴🏽‍♂️,man biking: medium skin tone,neutral
🚴🏽‍♂,man biking: medium skin tone,neutral
🚴🏾‍♂️,man biking: medium-dark skin tone,neutral
🚴🏾‍♂,man biking: medium-dark skin tone,neutral
🚴🏿‍♂️,man biking: dark skin tone,neutral
🚴🏿‍♂,man biking: dark skin tone,neutral
🚴‍♀️,woman biking,neutral
🚴‍♀,woman biking,neutral
🚴🏻‍♀️,woman biking: light skin tone,neutral
🚴🏻‍♀,woman biking: light skin tone,neutral
🚴🏼‍♀️,woman biking: medium-light skin tone,neutral
🚴🏼‍♀,woman biking: medium-light skin tone,neutral
🚴🏽‍♀️,woman biking: medium skin tone,neutral
🚴🏽‍♀,woman biking: medium skin tone,neutral
🚴🏾‍♀️,woman biking: medium-dark skin tone,neutral
🚴🏾‍♀,woman biking: medium-dark skin tone,neutral
🚴🏿‍♀️,woman biking: dark skin tone,neutral
🚴🏿‍♀,woman biking: dark skin tone,neutral
🚵,person mountain biking,neutral
🚵🏻,person mountain biking: light skin tone,neutral
🚵🏼,person mountain biking: medium-light skin tone,neutral
🚵🏽,person mountain biking: medium skin tone,neutral
🚵🏾,person mountain biking: medium-dark skin tone,neutral
🚵🏿,person mountain biking: dark skin tone,neutral
🚵‍♂️,man mountain biking,neutral
🚵‍♂,man mountain biking,neutral
🚵🏻‍♂️,man mountain biking: light skin tone,neutral
🚵🏻‍♂,man mountain biking: light skin tone,neutral
🚵🏼‍♂️,man mountain biking: medium-light skin tone,neutral
🚵🏼‍♂,man mountain biking: medium-light skin tone,neutral
🚵🏽‍♂️,man mountain biking: medium skin tone,neutral
🚵🏽‍♂,man mountain biking: medium skin tone,neutral
🚵🏾‍♂️,man mountain biking: medium-dark skin tone,neutral
🚵🏾‍♂,man mountain biking: medium-dark skin tone,neutral
🚵🏿‍♂️,man mountain biking: dark skin tone,neutral
🚵🏿‍♂,man mountain biking: dark skin tone,neutral
🚵‍♀️,woman mountain biking,neutral
🚵‍♀,woman mountain biking,neutral
🚵🏻‍♀️,woman mountain biking: light skin tone,neutral
🚵🏻‍♀,woman mountain biking: light skin tone,neutral
🚵🏼‍♀️,woman mountain biking: medium-light skin tone,neutral
🚵🏼‍♀,woman mountain biking: medium-light skin tone,neutral
🚵🏽‍♀️,woman mountain biking: medium skin tone,neutral
🚵🏽‍♀,woman mountain biking: medium skin tone,neutral
🚵🏾‍♀️,woman mountain biking: medium-dark skin tone,neutral
🚵🏾‍♀,woman mountain biking: medium-dark skin tone,neutral
🚵🏿‍♀️,woman mountain biking: dark skin tone,neutral
🚵🏿‍♀,woman mountain biking: dark skin tone,neutral
🤸,person cartwheeling,neutral
🤸🏻,person cartwheeling: light skin tone,neutral
🤸🏼,person cartwheeling: medium-light skin tone,neutral
🤸🏽,person cartwheeling: medium skin tone,neutral
🤸🏾,person cartwheeling: medium-dark skin tone,neutral
🤸🏿,person cartwheeling: dark skin tone,neutral
🤸‍♂️,man cartwheeling,neutral
🤸‍♂,man cartwheeling,neutral
🤸🏻‍♂️,man cartwheeling: light skin tone,neutral
🤸🏻‍♂,man cartwheeling: light skin tone,neutral
🤸🏼‍♂️,man cartwheeling: medium-light skin tone,neutral
🤸🏼‍♂,man cartwheeling: medium-light skin tone,neutral
🤸🏽‍♂️,man cartwheeling: medium skin tone,neutral
🤸🏽‍♂,man cartwheeling: medium skin tone,neutral
🤸🏾‍♂️,man cartwheeling: medium-dark skin tone,neutral
🤸🏾‍♂,man cartwheeling: medium-dark skin tone,neutral
🤸🏿‍♂️,man cartwheeling: dark skin tone,neutral
🤸🏿‍♂,man cartwheeling: dark skin tone,neutral
🤸‍♀️,woman cartwheeling,neutral
🤸‍♀,woman cartwheeling,neutral
🤸🏻‍♀️,woman cartwheeling: light skin tone,neutral
🤸🏻‍♀,woman cartwheeling: light skin tone,neutral
🤸🏼‍♀️,woman cartwheeling: medium-light skin tone,neutral
🤸🏼‍♀,woman cartwheeling: medium-light skin tone,neutral
🤸🏽‍♀️,woman cartwheeling: medium skin tone,neutral
🤸🏽‍♀,woman cartwheeling: medium skin tone,neutral
🤸🏾‍♀️,woman cartwheeling: medium-dark skin tone,neutral
🤸🏾‍♀,woman cartwheeling: medium-dark skin tone,neutral
🤸🏿‍♀️,woman cartwheeling: dark skin tone,neutral
🤸🏿‍♀,woman cartwheeling: dark skin tone,neutral
🤼,people wrestling,neutral
🤼‍♂️,men wrestling,neutral
🤼‍♂,men wrestling,neutral
🤼‍♀️,women wrestling,neutral
🤼‍♀,women wrestling,neutral
🤽,person playing water polo,neutral
🤽🏻,person playing water polo: light skin tone,neutral
🤽🏼,person playing water polo: medium-light skin tone,neutral
🤽🏽,person playing water polo: medium skin tone,neutral
🤽🏾,person playing water polo: medium-dark skin tone,neutral
🤽🏿,person playing water polo: dark skin tone,neutral
🤽‍♂️,man playing water polo,neutral
🤽‍♂,man playing water polo,neutral
🤽🏻‍♂️,man playing water polo: light skin tone,neutral
🤽🏻‍♂,man playing water polo: light skin tone,neutral
🤽🏼‍♂️,man playing water polo: medium-light skin tone,neutral
🤽🏼‍♂,man playing water polo: medium-light skin tone,neutral
🤽🏽‍♂️,man playing water polo: medium skin tone,neutral
🤽🏽‍♂,man playing water polo: medium skin tone,neutral
🤽🏾‍♂️,man playing water polo: medium-dark skin tone,neutral
🤽🏾‍♂,man playing water polo: medium-dark skin tone,neutral
🤽🏿‍♂️,man playing water polo: dark skin tone,neutral
🤽🏿‍♂,man playing water polo: dark skin tone,neutral
🤽‍♀️,woman playing water polo,neutral
🤽‍♀,woman playing water polo,neutral
🤽🏻‍♀️,woman playing water polo: light skin tone,neutral
🤽🏻‍♀,woman playing water polo: light skin tone,neutral
🤽🏼‍♀️,woman playing water polo: medium-light skin tone,neutral
🤽🏼‍♀,woman playing water polo: medium-light skin tone,neutral
🤽🏽‍♀️,woman playing water polo: medium skin tone,neutral
🤽🏽‍♀,woman playing water polo: medium skin tone,neutral
